,TICKER,SOURCE,TICKER_TYPE,DESCRIPTION,QUAD_PROB_MASK,QUAD1_GOLDILOCKS,QUAD2_REFLATION,QUAD3_STAGFLATION,QUAD4_DEFLATION,LABEL,15min_length,60min_length,daily_length
0,XLV,YAHOO,ETF,Health Care Select Sector SPDR Fund,1,0,0,0,1,ETF : XLV,539,417,498
1,XLP,YAHOO,ETF,SPDR S&P - Consumer Staples ,1,0,0,0,1,ETF : XLP,539,417,498
2,XLU,YAHOO,ETF,SPDR S&P - Utilities ,1,0,0,1,1,ETF : XLU,539,417,498
3,XLK,YAHOO,ETF,SPDR S&P - Technology,1,1,1,1,0,ETF : XLK,539,417,498
4,XLY,YAHOO,ETF,SPDR S&P - Consumer Discretionary,1,1,1,0,0,ETF : XLY,539,417,498
5,XLB,YAHOO,ETF,SPDR S&P - Materials,1,1,0,0,0,ETF : XLB,539,417,498
6,XLI,YAHOO,ETF,SPDR S&P - Industrials,1,1,1,0,0,ETF : XLI,539,417,498
7,XLE,YAHOO,ETF,SPDR S&P - Energy,1,0,1,1,0,ETF : XLE,539,417,498
8,XLF,YAHOO,ETF,SPDR S&P - Financials,1,1,1,0,0,ETF : XLF,539,417,498
9,XOP,YAHOO,ETF,SPDR S&P - Oil & Gas,1,1,0,0,0,ETF : XOP,539,417,498
10,QQQ,YAHOO,ETF,Invesco NASDAQ 100 Trust,1,1,0,1,0,ETF : QQQ,539,417,498
11,HG=F,YAHOO,COMMODITY,Copper CMX Futures,1,1,0,0,0,COMMODITY : HG=F,993,993,499
12,NG=F,YAHOO,COMMODITY,Natgas NYM Futures,1,1,0,0,0,COMMODITY : NG=F,993,993,499
13,CL=F,YAHOO,COMMODITY,Crude Oil NYM Futures,1,1,0,0,0,COMMODITY : CL=F,993,993,499
14,SPHB,YAHOO,ETF,Invesco S&P 500 High Beta,1,1,1,0,0,ETF : SPHB,539,417,498
15,SPLV,YAHOO,ETF,Invesco S&P 500 Low Volatility,1,0,0,0,1,ETF : SPLV,539,417,498
16,MTUM,YAHOO,ETF,iShares MSCI USA Momentum Factor,1,1,1,0,0,ETF : MTUM,539,417,498
17,IWF,YAHOO,ETF,iShares Russell 1000 Growth,1,0,1,0,0,ETF : IWF,539,417,498
18,IWM,YAHOO,ETF,iShares Russell 2000,1,1,1,0,0,ETF : IWM,539,417,498
19,MDY,YAHOO,ETF,SPDR S&P MIDCAP 400,1,1,0,0,0,ETF : MDY,539,417,498
20,CWB,YAHOO,ETF,SPDR Bloomberg Barclays Convertible Securities,1,1,1,0,0,ETF : CWB,539,417,498
21,HYG,YAHOO,ETF,iShares iBoxx High Yield Corporate Bond,1,1,0,0,0,ETF : HYG,539,417,498
22,BKLN,YAHOO,ETF,Invesco Senior Loan,1,1,1,0,0,ETF : BKLN,539,417,498
23,BIZD,YAHOO,ETF,VanEck Vectors BDC Income,1,1,1,0,0,ETF : BIZD,539,417,498
24,FXE,YAHOO,ETF,Invesco CurrencyShares Euro Currency Trust,1,1,0,0,0,ETF : FXE,454,414,498
25,JJC,YAHOO,ETF,iPath Series B Bloomberg Copper Subindex Total Return ETN,1,1,0,0,0,ETF : JJC,377,389,498
26,PFF,YAHOO,ETF,iShares Preferred and Income Securities,1,0,1,0,0,ETF : PFF,539,417,498
27,USO,YAHOO,ETF,United States Oil Fund,1,0,1,1,0,ETF : USO,539,417,498
28,VNQ,YAHOO,ETF,Vanguard Real Estate Index Fund,1,0,0,1,1,ETF : VNQ,539,417,498
29,UNG,YAHOO,ETF,United States Natural Gas Fund,1,1,0,0,0,ETF : UNG,539,417,498
30,MUB,YAHOO,ETF,iShares National Muni Bond,1,0,0,1,0,ETF : MUB,539,417,498
31,MBB,YAHOO,ETF,iShares MBS,1,0,0,0,1,ETF : MBB,539,417,498
32,SHY,YAHOO,ETF,iShares 1-3 Year Treasury Bond,1,0,0,0,1,ETF : SHY,539,417,498
33,IEF,YAHOO,ETF,iShares 7-10 Year Treasury Bond,1,0,0,0,1,ETF : IEF,539,417,498
34,TLT,YAHOO,ETF,iShares 20+ Year Treasury Bond ETF,1,0,0,1,1,ETF : TLT,539,417,498
35,TIP,YAHOO,ETF,iShares TIPS Bond,1,0,0,1,0,ETF : TIP,539,417,498
36,LQD,YAHOO,ETF,iShares iBoxx $ Investment Grade Corporate Bond,1,0,0,1,0,ETF : LQD,539,417,498
37,UDN,YAHOO,ETF,Invesco DB US Dollar Index Bearish Fund,1,0,0,1,0,ETF : UDN,339,408,498
38,SDY,YAHOO,ETF,SPDR S&P Dividend,1,0,0,0,1,ETF : SDY,539,417,498
39,QUAL,YAHOO,ETF,iShares MSCI USA Quality Factor,1,0,0,0,1,ETF : QUAL,539,417,498
40,UUP,YAHOO,ETF,Invesco DB US Dollar Index Bullish Fund,1,0,0,0,1,ETF : UUP,539,417,498
41,GDX,YAHOO,ETF,VanEck Vectors Gold Miners ETF,1,0,0,1,0,ETF : GDX,539,417,498
42,GDXJ,YAHOO,ETF,VanEck Vectors Junior Gold Miners ETF,1,0,0,1,0,ETF : GDXJ,539,417,498
43,GLD,YAHOO,ETF,SPDR Gold Trust,1,0,0,0,1,ETF : GLD,539,417,498
44,VIXM,YAHOO,ETF,ProShares VIX Mid-Term Futures ETF,1,0,0,1,1,ETF : VIXM,518,417,498
45,VIXY,YAHOO,ETF,ProShares VIX Short-Term Futures ETF,1,0,0,1,1,ETF : VIXY,539,417,498
46,BTC-USD,YAHOO,CRYPTO,Bitcoin USD,1,1,1,0,0,CRYPTO : BTC-USD,993,993,724
47,ETH-USD,YAHOO,CRYPTO,Ethereum USD,1,1,1,0,0,CRYPTO : ETH-USD,993,993,724
48,USDT-USD,YAHOO,CRYPTO,Tether USD,0,1,1,0,0,CRYPTO : USDT-USD,993,993,724
49,ADA-USD,YAHOO,CRYPTO,Cardano USD,0,1,1,0,0,CRYPTO : ADA-USD,993,993,724
50,BNB-USD,YAHOO,CRYPTO,BinanceCoin USD,0,1,1,0,0,CRYPTO : BNB-USD,993,993,724
51,DOGE-USD,YAHOO,CRYPTO,Dogecoin USD,0,1,1,0,0,CRYPTO : DOGE-USD,993,993,724
52,XRP-USD,YAHOO,CRYPTO,XRP USD,0,1,1,0,0,CRYPTO : XRP-USD,993,993,724
53,XMR-USD,YAHOO,CRYPTO,Monero USD,0,1,1,0,0,CRYPTO : XMR-USD,993,993,724
